IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
507;TEA 1 GLASS (10*20);/images/kitchen/absolut/decor_tea_01_glass_10x20.jpg;DECOR TEA 01 GLASS 10X20;1108;1108;Декор;58305422;48;275;100;200;2,58;EUR
500;MONOCOLOR blanco (10*20);/images/kitchen/absolut/blanco_10x20.jpg;BLANCO 10x20;1110;1110;Облицовочная;58302792;1;13885;100;200;15,52;EUR
501;MONOCOLOR burdeos (10*20);/images/kitchen/absolut/burdeos_10x20.jpg;BURDEOS 10x20;1110;1110;Облицовочная;58302788;1;13885;100;200;17;EUR
504;VASE Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_vase_30x20.jpg;COMPOSICION VASE 30X20;1110;1110;Декор;68471226;12;825;300;200;11,89;EUR
502;VASE 1 (10*20);/images/kitchen/absolut/decor_vase_01_10x20.jpg;DECOR VASE 01 10X20;1110;1110;Декор;68471073;50;275;100;200;3,4;EUR
503;VASE 2 (10*20);/images/kitchen/absolut/decor_vase_02_10x20.jpg;DECOR VASE 02 10X20;1110;1110;Декор;68471074;50;275;100;200;3,4;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1117;1117;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;CANDY FRUITS 1 (10*30);/images/kitchen/absolut/decor_candy_fruits_01_10x30.jpg;DECOR CANDY FRUITS 01 10X30;1117;1117;Декор;68471116;22;430;100;300;5,5;EUR
502;CANDY FRUITS 2 (10*30);/images/kitchen/absolut/decor_candy_fruits_02_10x30.jpg;DECOR CANDY FRUITS 02 10X30;1117;1117;Декор;68471117;22;430;100;300;5,5;EUR
503;CANDY FRUITS 3 (10*30);/images/kitchen/absolut/decor_candy_fruits_03_10x30.jpg;DECOR CANDY FRUITS 03 10X30;1117;1117;Декор;68471118;22;430;100;300;5,5;EUR
504;CANDY FRUITS 4 (10*30);/images/kitchen/absolut/decor_candy_fruits_04_10x30.jpg;DECOR CANDY FRUITS 04 10X30;1117;1117;Декор;68471119;22;430;100;300;5,5;EUR
505;CANDY FRUITS 5 (10*30);/images/kitchen/absolut/decor_candy_fruits_05_10x30.jpg;DECOR CANDY FRUITS 05 10X30;1117;1117;Декор;68471120;22;430;100;300;5,5;EUR
500;MONOCOLOR crema (10*30);/images/kitchen/absolut/crema_10x30.jpg;CREMA 10X30;1111;1111;Облицовочная;58302961;1,02;14345;100;300;20,6;EUR
501;MONOCOLOR beige (10*30);/images/kitchen/absolut/beige_10x30.jpg;BEIGE 10X30;1111;1111;Облицовочная;58302986;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marron (10*30);/images/kitchen/absolut/marron_10x30.jpg;MARRON 10X30;1111;1111;Облицовочная;60644268;1,02;14345;100;300;20,6;EUR
503;COFFEE CAPUCCINO MARRON A (10*30);/images/kitchen/absolut/decor_coffee_capuccino_marron_a_10x30.jpg;DECOR COFFEE CAPUCCINO MARRON A 10X30;1111;1111;Декор;58306979;22;430;100;200;5,5;EUR
504;COFFEE CAPUCCINO MARRON B (10*30);/images/kitchen/absolut/decor_coffee_capuccino_marron_b_10x30.jpg;DECOR COFFEE CAPUCCINO MARRON B 10X30;1111;1111;Декор;58306981;22;430;100;300;5,5;EUR
505;COFFEE CAPUCCINO MARRON Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_coffee_capuccino_marron_30x30.jpg;COMPOSICION COFFEE CAPUCCINO MARRON 30X30;1111;1111;Декор;58304390;10;1290;300;300;18,65;EUR
500;MONOCOLOR crema (10*30);/images/kitchen/absolut/crema_10x30.jpg;CREMA 10X30;1121;1121;Облицовочная;58302961;1,02;14345;100;300;20,6;EUR
501;MONOCOLOR beige (10*30);/images/kitchen/absolut/beige_10x30.jpg;BEIGE 10X30;1121;1121;Облицовочная;58302986;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1121;1121;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
503;MONOCOLOR perla (10*30);/images/kitchen/absolut/perla_10x30.jpg;PERLA 10X30;1121;1121;Облицовочная;70702696;1,02;14345;100;300;20,6;EUR
504;MONOCOLOR marengo (10*30);/images/kitchen/absolut/marengo_10x30.jpg;MARENGO 10X30;1121;1121;Облицовочная;58302960;1,02;14345;100;300;20,6;EUR
505;CUBE cold KITCHEN MIX (10*30);/images/kitchen/absolut/cube_cold_kitchen.jpg;Cube cold kitchen;1121;1121;Декор;68471132;36;430;100;300;9,6;EUR
506;CUBE warm KITCHEN MIX (10*30);/images/kitchen/absolut/cube_warm_kitchen.jpg;Cube warm kitchen;1121;1121;Декор;68471133;36;430;100;300;9,6;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1123;1123;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;MONOCOLOR perla (10*30);/images/kitchen/absolut/perla_10x30.jpg;PERLA 10X30;1123;1123;Облицовочная;70702696;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marengo (10*30);/images/kitchen/absolut/marengo_10x30.jpg;MARENGO 10X30;1123;1123;Облицовочная;58302960;1,02;14345;100;300;20,6;EUR
